"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","span","pred","forest"
"Ukn Bullet B-1","Br5 Bullet 1-4",0.210328337061975,242,1.47425393025928,1.67414899429502,150,125,13,92,17,9.04314346018167,3,"data-5-25/unkn1.RData",64,22,38,FALSE,5,0.00451892299002071,0
"Ukn Bullet B-1","Br7 Bullet 1-6",0.419087106213778,43,0.394963040782029,1.10647383846936,100,125,12,124,29,4.91000840729221,2,"data-5-25/unkn1.RData",90,36,38,FALSE,5,0.00451892299002071,0.00917431192660551
"Ukn Bullet B-1","Br3 Bullet 1-1",0.351396689694637,119,0.903835345289913,1.45813150396399,175,125,6,89,22,5.30712947823506,2,"data-5-25/unkn1.RData",37,13,38,FALSE,5,0.00451892299002071,0
"Ukn Bullet B-1","Br5 Bullet 1-3",0.249452996912928,46,1.49392436443375,1.74751192979217,100,125,2,97,40,1.81668355265521,1,"data-5-25/unkn1.RData",63,21,38,FALSE,5,0.00451892299002071,0
"Ukn Bullet B-1","Br10 Bullet 2-1",0.266151557691074,110,0.967835711671403,1.52251914237691,150,125,7,95,26,5.25057386294934,1,"data-5-25/unkn1.RData",19,59,38,FALSE,5,0.00451892299002071,0
"Ukn Bullet B-1","Br8 Bullet 2-1",0.471469623838844,203,1.99482077621729,2.01656448510287,225,125,7,82,35,3.32192625940961,1,"data-5-25/unkn1.RData",103,43,38,FALSE,5,0.00451892299002071,0.00952380952380952
"Ukn Bullet B-1","Br8 Bullet 1-2",0.224916169734494,163,3.84145836243502,2.42818055025539,125,125,11,85,42,9.38355312824665,4,"data-5-25/unkn1.RData",98,44,38,FALSE,5,0.00451892299002071,0.00934579439252336
"Ukn Bullet B-1","Br6 Bullet 2-2",0.395267293350976,64,1.55034270524168,1.75096510640281,200,125,8,111,44,8.68719899292193,2,"data-5-25/unkn1.RData",80,29,38,FALSE,5,0.00451892299002071,0
"Ukn Bullet B-1","Br8 Bullet 2-2",0.27166264167123,43,3.52032601136199,2.35340098962686,175,125,8,102,38,10.1720227582964,3,"data-5-25/unkn1.RData",104,44,38,FALSE,5,0.00451892299002071,0
"Ukn Bullet B-1","Br6 Bullet 2-1",0.288153135504571,173,3.46462269852468,2.5477049330567,625,125,10,92,18,3.77645414646227,2,"data-5-25/unkn1.RData",79,28,38,FALSE,5,0.00451892299002071,0
"Ukn Bullet B-1","Br9 Bullet 2-2",0.3806784443601,399,2.61887038258023,2.24460547576092,175,125,14,89,27,9.16133059158627,3,"data-5-25/unkn1.RData",116,49,38,FALSE,5,0.00451892299002071,0
