"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","span","pred","forest"
"Ukn Bullet B-1","Br5 Bullet 1-4",0.210328337061975,242,1.47425393025928,1.67414899429502,150,125,3,14,8,2.59745773082251,1,"data-30-25/unkn1.RData",64,22,38,FALSE,30,0.00414624952883528,0
"Ukn Bullet B-1","Br7 Bullet 1-6",0.419087106213778,43,0.394963040782029,1.10647383846936,100,125,5,21,7,3.46478529624997,2,"data-30-25/unkn1.RData",90,36,38,FALSE,30,0.00414624952883528,0.00854700854700855
"Ukn Bullet B-1","Br3 Bullet 1-1",0.351396689694637,119,0.903835345289913,1.45813150396399,175,125,7,22,11,5.40196823484965,3,"data-30-25/unkn1.RData",37,13,38,FALSE,30,0.00414624952883528,0
"Ukn Bullet B-1","Br5 Bullet 1-3",0.249452996912928,46,1.49392436443375,1.74751192979217,100,125,8,17,5,7.73622697436209,3,"data-30-25/unkn1.RData",63,21,38,FALSE,30,0.00414624952883528,0
"Ukn Bullet B-1","Br10 Bullet 2-1",0.266151557691074,110,0.967835711671403,1.52251914237691,150,125,3,19,10,2.93336736970252,2,"data-30-25/unkn1.RData",19,59,38,FALSE,30,0.00414624952883528,0
"Ukn Bullet B-1","Br8 Bullet 2-1",0.471469623838844,203,1.99482077621729,2.01656448510287,225,125,10,12,6,13.0852606534189,4,"data-30-25/unkn1.RData",103,43,38,FALSE,30,0.00414624952883528,0.0686274509803922
"Ukn Bullet B-1","Br8 Bullet 1-2",0.224916169734494,163,3.84145836243502,2.42818055025539,125,125,4,19,7,6.52086728133411,1,"data-30-25/unkn1.RData",98,44,38,FALSE,30,0.00414624952883528,0
"Ukn Bullet B-1","Br6 Bullet 2-2",0.395267293350976,64,1.55034270524168,1.75096510640281,200,125,6,22,9,5.95025346375174,4,"data-30-25/unkn1.RData",80,29,38,FALSE,30,0.00414624952883528,0
"Ukn Bullet B-1","Br8 Bullet 2-2",0.27166264167123,43,3.52032601136199,2.35340098962686,175,125,6,16,6,5.20097460974632,2,"data-30-25/unkn1.RData",104,44,38,FALSE,30,0.00414624952883528,0.00869565217391304
"Ukn Bullet B-1","Br6 Bullet 2-1",0.288153135504571,173,3.46462269852468,2.5477049330567,625,125,5,13,10,2.05782807034609,3,"data-30-25/unkn1.RData",79,28,38,FALSE,30,0.00414624952883528,0
"Ukn Bullet B-1","Br9 Bullet 2-2",0.3806784443601,399,2.61887038258023,2.24460547576092,175,125,5,17,10,6.90500032885532,4,"data-30-25/unkn1.RData",116,49,38,FALSE,30,0.00414624952883528,0
"Ukn Bullet B-1","Br8 Bullet 1-4",0.243772777443124,131,1.97928145488829,2.00453705046044,175,125,2,18,11,3.94047164643743,1,"data-30-25/unkn1.RData",100,46,38,FALSE,30,0.00414624952883528,0
"Ukn Bullet B-1","Br9 Bullet 2-4",0.147933132641693,395,1.87360408040318,2.39114780338364,550,125,6,20,7,2.41739135979349,3,"data-30-25/unkn1.RData",118,51,38,FALSE,30,0.00414624952883528,0.0285714285714286
