"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","pred","bullet","forest","span","crosscutdist"
"Ukn Bullet B-1","Br10 Bullet 1-4",0.311430312316235,221,3.24172685636796,2.69192533329547,175,125,4,15,11,2.72813895948236,4,"data-35-25/unkn1.RData",16,58,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br8 Bullet 1-1",0.423102550472989,204,1.51153134322234,1.80123624534586,150,125,8,10,6,9.00881789834149,3,"data-35-25/unkn1.RData",97,43,38,FALSE,0.00452147701582517,"Ukn Bullet B",0.00819672131147541,35,25
"Ukn Bullet B-1","Br4 Bullet 1-3",0.270567180953027,155,1.13174038944467,1.54983257657331,100,125,6,6,3,2.99774616000011,4,"data-35-25/unkn1.RData",51,39,38,FALSE,0.00452147701582517,"Ukn Bullet B",0.0267857142857143,35,25
"Ukn Bullet B-1","Br10 Bullet 1-1",0.273552379399217,226,0.685129696624362,1.29970123477582,200,125,2,15,10,0.854818753124641,1,"data-35-25/unkn1.RData",13,55,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br5 Bullet 2-4",0.415245477590638,48,1.2837919783757,1.70156791887919,150,125,3,17,9,3.81067739612697,2,"data-35-25/unkn1.RData",70,20,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br9 Bullet 1-3",0.310938752353375,117,1.61805108068105,1.75373231977795,125,125,6,15,4,6.35377756888088,2,"data-35-25/unkn1.RData",111,51,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br2 Bullet 2-5",0.283508286898421,296,1.04256453653191,1.49404315850237,150,125,0,18,18,0,0,"data-35-25/unkn1.RData",35,10,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br8 Bullet 2-4",0.228701927149198,367,3.91809169100985,2.40767789705634,325,125,2,13,7,2.02402093743927,2,"data-35-25/unkn1.RData",106,46,38,FALSE,0.00452147701582517,"Ukn Bullet B",0.0280373831775701,35,25
"Ukn Bullet B-1","Br2 Bullet 1-6",0.190739706513916,1,3.0592950102154,2.13916300425133,125,125,3,17,9,2.75650309293087,2,"data-35-25/unkn1.RData",30,12,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br9 Bullet 1-4",0.232077956214379,288,1.5716831661112,1.72819295941272,150,125,4,17,7,4.49864442482994,1,"data-35-25/unkn1.RData",112,52,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br6 Bullet 2-1",0.288153135504532,173,3.46462269852469,2.54770493305671,625,125,5,11,4,3.18418518370457,3,"data-35-25/unkn1.RData",79,28,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br5 Bullet 1-6",0.288633700595261,86,1.50707113916839,1.67635582207049,150,125,2,8,4,2.29177594574212,1,"data-35-25/unkn1.RData",66,24,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br6 Bullet 2-5",0.344764181702923,65,1.30346919598037,1.65942357996954,175,125,2,14,8,2.21681570133165,1,"data-35-25/unkn1.RData",83,26,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br1 Bullet 1-4",0.271503502555548,393,1.05953796763942,1.46793062762389,125,125,4,19,14,2.64107326679523,3,"data-35-25/unkn1.RData",4,4,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br1 Bullet 2-3",0.346403771243591,106,6.89737142702201,3.38755036618673,200,125,1,16,12,1.69911483498646,1,"data-35-25/unkn1.RData",9,1,38,FALSE,0.00452147701582517,"Ukn Bullet B",0.0194174757281553,35,25
