"bulletland","x","sd","ccf","bullet","land","meantree","meanforest","maxtree","maxforest","foundmatch"
"Ukn Bullet B-1",25,2.49925980407374,0.60994770435645,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",50,2.20418259681056,0.353839274729445,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",75,2.03554053979729,0.568258002960453,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",100,1.58027274597181,0.317213553179249,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",125,0.456068993281482,0.949564281610353,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",150,0.467650510078293,0.949734619520602,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",175,0.479259194266782,0.954015780983498,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",200,0.541891039448682,0.954622387160802,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",225,0.567652131351946,0.952397315605228,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",250,0.586454945912325,0.953647621541667,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",275,0.618485939899938,0.971268416881691,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",300,0.675627233497163,0.949553929898315,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",325,0.73947716335119,0.9200811970702,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",350,0.758502773491673,0.931397288140865,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",375,0.792108206485795,0.914418867882644,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",400,0.848458214307672,0.928640141106656,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",425,0.881229133280662,0.930426347199557,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
