"path","cc","bullet"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 1-2.x3p",150,"Br2 Bullet 1-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 1-3.x3p",150,"Br2 Bullet 1-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 1-4.x3p",200,"Br2 Bullet 1-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 1-5.x3p",100,"Br2 Bullet 1-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 1-6.x3p",125,"Br2 Bullet 1-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 2-1.x3p",175,"Br2 Bullet 2-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 2-2.x3p",150,"Br2 Bullet 2-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 2-3.x3p",125,"Br2 Bullet 2-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 2-4.x3p",175,"Br2 Bullet 2-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 2-5.x3p",150,"Br2 Bullet 2-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 2-6.x3p",175,"Br2 Bullet 2-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 1-1.x3p",175,"Br3 Bullet 1-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 1-2.x3p",125,"Br3 Bullet 1-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 1-3.x3p",150,"Br3 Bullet 1-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 1-4.x3p",350,"Br3 Bullet 1-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 1-5.x3p",125,"Br3 Bullet 1-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 1-6.x3p",125,"Br3 Bullet 1-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 2-1.x3p",175,"Br3 Bullet 2-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 2-2.x3p",175,"Br3 Bullet 2-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 2-3.x3p",175,"Br3 Bullet 2-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 2-4.x3p",125,"Br3 Bullet 2-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 2-5.x3p",175,"Br3 Bullet 2-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br3 Bullet 2-6.x3p",125,"Br3 Bullet 2-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 1-1.x3p",125,"Br4 Bullet 1-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 1-2.x3p",125,"Br4 Bullet 1-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 1-3.x3p",100,"Br4 Bullet 1-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 1-4.x3p",100,"Br4 Bullet 1-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 1-5.x3p",100,"Br4 Bullet 1-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 1-6.x3p",100,"Br4 Bullet 1-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-1.x3p",175,"Br4 Bullet 2-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-2.x3p",175,"Br4 Bullet 2-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-3.x3p",150,"Br4 Bullet 2-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-4.x3p",175,"Br4 Bullet 2-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-5.x3p",125,"Br4 Bullet 2-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-6.x3p",200,"Br4 Bullet 2-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-1.x3p",150,"Br5 Bullet 1-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-2.x3p",150,"Br5 Bullet 1-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-3.x3p",100,"Br5 Bullet 1-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-4.x3p",150,"Br5 Bullet 1-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-5.x3p",175,"Br5 Bullet 1-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-6.x3p",150,"Br5 Bullet 1-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-1.x3p",150,"Br5 Bullet 2-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-2.x3p",125,"Br5 Bullet 2-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-3.x3p",150,"Br5 Bullet 2-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-4.x3p",150,"Br5 Bullet 2-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-5.x3p",125,"Br5 Bullet 2-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-6.x3p",150,"Br5 Bullet 2-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-1.x3p",175,"Br6 Bullet 1-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-2.x3p",150,"Br6 Bullet 1-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-3.x3p",225,"Br6 Bullet 1-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-4.x3p",225,"Br6 Bullet 1-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-5.x3p",125,"Br6 Bullet 1-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-6.x3p",125,"Br6 Bullet 1-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-1.x3p",NA,"Br6 Bullet 2-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-2.x3p",200,"Br6 Bullet 2-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-3.x3p",200,"Br6 Bullet 2-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-4.x3p",225,"Br6 Bullet 2-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-5.x3p",175,"Br6 Bullet 2-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-6.x3p",125,"Br6 Bullet 2-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-1.x3p",125,"Br7 Bullet 1-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-2.x3p",150,"Br7 Bullet 1-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-3.x3p",200,"Br7 Bullet 1-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-4.x3p",125,"Br7 Bullet 1-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-5.x3p",175,"Br7 Bullet 1-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-6.x3p",100,"Br7 Bullet 1-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-1.x3p",150,"Br7 Bullet 2-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-2.x3p",200,"Br7 Bullet 2-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-3.x3p",150,"Br7 Bullet 2-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-4.x3p",100,"Br7 Bullet 2-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-5.x3p",125,"Br7 Bullet 2-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-6.x3p",100,"Br7 Bullet 2-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-1.x3p",150,"Br8 Bullet 1-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-2.x3p",125,"Br8 Bullet 1-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-3.x3p",150,"Br8 Bullet 1-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-4.x3p",175,"Br8 Bullet 1-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-5.x3p",100,"Br8 Bullet 1-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-6.x3p",125,"Br8 Bullet 1-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-1.x3p",225,"Br8 Bullet 2-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-2.x3p",175,"Br8 Bullet 2-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-3.x3p",250,"Br8 Bullet 2-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-4.x3p",325,"Br8 Bullet 2-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-5.x3p",125,"Br8 Bullet 2-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-6.x3p",100,"Br8 Bullet 2-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-1.x3p",175,"Br9 Bullet 1-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-2.x3p",175,"Br9 Bullet 1-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-3.x3p",125,"Br9 Bullet 1-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-4.x3p",150,"Br9 Bullet 1-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-5.x3p",225,"Br9 Bullet 1-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-6.x3p",150,"Br9 Bullet 1-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-1.x3p",175,"Br9 Bullet 2-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-2.x3p",175,"Br9 Bullet 2-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-3.x3p",175,"Br9 Bullet 2-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-4.x3p",NA,"Br9 Bullet 2-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-5.x3p",100,"Br9 Bullet 2-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-6.x3p",175,"Br9 Bullet 2-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet B-1.x3p",125,"Ukn Bullet B-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet B-2.x3p",NA,"Ukn Bullet B-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet B-3.x3p",200,"Ukn Bullet B-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet B-4.x3p",175,"Ukn Bullet B-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet B-5.x3p",200,"Ukn Bullet B-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet B-6.x3p",175,"Ukn Bullet B-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet C-1.x3p",175,"Ukn Bullet C-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet C-2.x3p",125,"Ukn Bullet C-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet C-3.x3p",125,"Ukn Bullet C-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet C-4.x3p",275,"Ukn Bullet C-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet C-5.x3p",125,"Ukn Bullet C-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet C-6.x3p",175,"Ukn Bullet C-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet D-1.x3p",100,"Ukn Bullet D-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet D-2.x3p",250,"Ukn Bullet D-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet D-3.x3p",250,"Ukn Bullet D-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet D-4.x3p",175,"Ukn Bullet D-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet D-5.x3p",100,"Ukn Bullet D-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet D-6.x3p",150,"Ukn Bullet D-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet E-1.x3p",200,"Ukn Bullet E-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet E-2.x3p",150,"Ukn Bullet E-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet E-3.x3p",175,"Ukn Bullet E-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet E-4.x3p",150,"Ukn Bullet E-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet E-5.x3p",150,"Ukn Bullet E-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet E-6.x3p",125,"Ukn Bullet E-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet F-1.x3p",125,"Ukn Bullet F-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet F-2.x3p",200,"Ukn Bullet F-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet F-3.x3p",175,"Ukn Bullet F-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet F-4.x3p",175,"Ukn Bullet F-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet F-5.x3p",125,"Ukn Bullet F-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet F-6.x3p",100,"Ukn Bullet F-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet H-1.x3p",125,"Ukn Bullet H-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet H-2.x3p",125,"Ukn Bullet H-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet H-3.x3p",200,"Ukn Bullet H-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet H-4.x3p",250,"Ukn Bullet H-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet H-5.x3p",150,"Ukn Bullet H-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet H-6.x3p",100,"Ukn Bullet H-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet J-1.x3p",175,"Ukn Bullet J-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet J-2.x3p",150,"Ukn Bullet J-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet J-3.x3p",175,"Ukn Bullet J-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet J-4.x3p",175,"Ukn Bullet J-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet J-5.x3p",125,"Ukn Bullet J-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet J-6.x3p",125,"Ukn Bullet J-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet L-1.x3p",125,"Ukn Bullet L-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet L-2.x3p",125,"Ukn Bullet L-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet L-3.x3p",175,"Ukn Bullet L-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet L-4.x3p",175,"Ukn Bullet L-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet L-5.x3p",100,"Ukn Bullet L-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet L-6.x3p",150,"Ukn Bullet L-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet M-1.x3p",250,"Ukn Bullet M-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet M-2.x3p",175,"Ukn Bullet M-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet M-3.x3p",150,"Ukn Bullet M-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet M-4.x3p",175,"Ukn Bullet M-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet M-5.x3p",175,"Ukn Bullet M-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet M-6.x3p",200,"Ukn Bullet M-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-1.x3p",150,"Ukn Bullet Q-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-2.x3p",250,"Ukn Bullet Q-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-3.x3p",175,"Ukn Bullet Q-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-4.x3p",NA,"Ukn Bullet Q-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-5.x3p",200,"Ukn Bullet Q-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-6.x3p",125,"Ukn Bullet Q-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet S-1.x3p",175,"Ukn Bullet S-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet S-2.x3p",150,"Ukn Bullet S-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet S-3.x3p",200,"Ukn Bullet S-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet S-4.x3p",350,"Ukn Bullet S-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet S-5.x3p",150,"Ukn Bullet S-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet S-6.x3p",150,"Ukn Bullet S-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet U-1.x3p",150,"Ukn Bullet U-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet U-2.x3p",200,"Ukn Bullet U-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet U-3.x3p",150,"Ukn Bullet U-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet U-4.x3p",400,"Ukn Bullet U-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet U-5.x3p",100,"Ukn Bullet U-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet U-6.x3p",100,"Ukn Bullet U-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet X-1.x3p",125,"Ukn Bullet X-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet X-2.x3p",200,"Ukn Bullet X-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet X-3.x3p",100,"Ukn Bullet X-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet X-4.x3p",175,"Ukn Bullet X-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet X-5.x3p",175,"Ukn Bullet X-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet X-6.x3p",150,"Ukn Bullet X-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-1.x3p",150,"Ukn Bullet Y-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-2.x3p",150,"Ukn Bullet Y-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-3.x3p",150,"Ukn Bullet Y-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-4.x3p",225,"Ukn Bullet Y-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-5.x3p",150,"Ukn Bullet Y-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-6.x3p",175,"Ukn Bullet Y-6"
