"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.nonmatches","CNMS","S","CMS","data","resID","id.x","id.y","match","span","pred","forest","flagged","bullet"
"Ukn Bullet B-1","Br2 Bullet 1-3",0.349768927972189,398,1.20791674100347,1.62416838351952,150,125,8,19,7,5.99090316303911,2,"data-25-25/unkn1.RData",27,9,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 1-6",0.101770627036231,173,3.43869335570947,2.58317079354573,100,125,5,22,11,2.75956416640328,5,"data-25-25/unkn1.RData",6,6,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 1-5",0.407009861457512,122,1.66257449042507,1.91630804363566,125,125,6,18,7,6.11677422625087,3,"data-25-25/unkn1.RData",41,17,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-5",0.30211162661912,54,1.70994882724951,1.76963210410278,125,125,8,23,11,6.13982675341148,3,"data-25-25/unkn1.RData",77,29,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-3",0.192574793357908,83,2.27700027050908,2.49465768632721,200,125,6,27,12,4.08294676009866,3,"data-25-25/unkn1.RData",81,30,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 1-2",0.880648251166885,202,0.043042747680785,0.885993998026115,125,125,18,13,4,7.23653021417847,8,"data-25-25/unkn1.RData",50,38,38,TRUE,25,1,0.973333333333333,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-1",0.277758386581849,309,5.38857284391801,2.82541502068589,175,125,2,22,12,2.26241911201699,1,"data-25-25/unkn1.RData",73,25,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-4",0.228701927149142,367,3.91809169101004,2.40767789705632,325,125,3,30,15,4.19224461158817,1,"data-25-25/unkn1.RData",106,46,38,FALSE,25,0.00323624595469256,0.0133333333333333,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 1-5",0.28386540151752,315,1.13928365558655,1.55237798077224,200,125,4,16,9,3.80647518189168,2,"data-25-25/unkn1.RData",17,59,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-5",0.344764181702873,65,1.30346919598029,1.65942357996949,175,125,3,21,12,1.9740067289067,2,"data-25-25/unkn1.RData",83,26,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
